SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily Rainfall (mm)
1,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,09-03-2021 08:30,5
2,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,10-03-2021 08:30,5
3,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,11-03-2021 08:30,5
4,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,29-03-2021 08:30,7
5,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,30-03-2021 08:30,5
6,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,31-03-2021 08:30,7
7,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,03-04-2021 08:30,2
8,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,05-04-2021 08:30,5
9,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,06-04-2021 08:30,5
10,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,09-04-2021 08:30,7
11,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,11-04-2021 08:30,2
12,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,12-04-2021 08:30,3
13,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,14-04-2021 08:30,2
14,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,16-04-2021 08:30,5
15,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,17-04-2021 08:30,5
16,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,18-04-2021 08:30,10
17,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,28-04-2021 08:30,2
18,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,29-04-2021 08:30,2
19,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,30-04-2021 08:30,2
20,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,02-05-2021 08:30,15
21,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,03-05-2021 08:30,5
22,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,04-05-2021 08:30,1
23,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,05-05-2021 08:30,2
24,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,06-05-2021 08:30,5
25,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,07-05-2021 08:30,3
26,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,10-05-2021 08:30,1
27,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,12-05-2021 08:30,22
28,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,13-05-2021 08:30,2
29,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,14-05-2021 08:30,5
